48693,1352763,112
29557,648525,83
60353,567077,87
60354,577133,88
71657,1076764,114
55454,3264314,98
29560,683879,82
1270,226316,12
25173,1950660,146
79258,41882,8
71676,2364883,124
29547,4022970,54
9881,3179261,95
71558,407464,32
16455,626117,69
29464,99059,10
71561,187174,38
14302,1329153,20
9971,1934644,104
36117,1242051,157
55528,931139,16
71580,1550936,81
29455,1988154,47
20818,15918161,108
9922,392183,57
14322,12774702,75
14326,1005374,37
71586,6860364,108
55516,726929,18
9939,193587,89
14312,545017,63
51708,851398,8
78908,369531,69
78910,209151,11
16788,3792044,93
60018,3154447,95
5243,152350,6
25577,385269,43
51207,294014,14
71236,1317105,51
10019,4673557,105
64338,215013,108
71238,452262,51
64339,67499,65
71293,3008255,87
16820,1574177,116
59988,268095,62
71280,1227353,105
16817,5671826,114
64352,1044978,74
9999,6430680,109
71278,2905799,130
25544,3188754,156
51241,784342,32
9989,1257227,67
9990,601419,105
20624,2885184,123
25538,248781,25
9987,1493611,106
35994,5470501,64
51284,313721,106
35991,1122937,49
10073,1597705,70
13929,710122,89
13933,1021946,83
49134,317276,12
67335,533569,63
71221,1714179,142
13924,2733341,101
71218,674033,74
71217,2567971,168
82910,476030,24
55643,931601,72
55644,812734,60
78921,521467,29
36003,894649,76
13938,1729803,59
78915,1049937,63
67347,373881,58
51349,4846867,59
35921,63413,47
35920,1928427,108
35923,17177,40
25456,7409701,124
82735,408604,41
13960,1058606,101
35908,1464986,109
35909,1020153,104
35910,630808,70
71363,1402810,80
35911,306939,68
86532,78409,25
86534,213123,53
35906,327326,40
35907,3446435,43
5360,1696522,128
35916,10563,44
25454,3598434,135
35918,1036099,42
25452,7085738,108
25453,10262332,170
35912,39703,60
35913,9708,37
10153,1697091,101
10132,499711,53
10133,2208828,115
13989,1687090,120
55684,30947,5
5319,1421925,64
13991,782545,92
55683,34682,0
29292,301302,69
71422,1735855,85
67532,1926585,56
13995,1030866,88
14000,15317521,84
51375,255156,13
51374,59373,12
51373,11148,15
25395,215050,30
10228,369895,12
35862,1728817,41
25396,508451,51
71325,1571534,147
35867,1932529,112
16729,3498579,103
71326,886558,66
10238,3013831,64
20590,1761348,103
20588,122881,25
35841,5440694,54
64400,36700,59
35843,3426740,43
25382,1449036,52
71297,869104,44
10213,5617068,188
10212,2128717,118
14042,127708,2
40250,443521,43
14040,3012286,60
35852,730397,50
10221,1446375,106
10192,2502679,41
67462,985595,93
14050,4303242,138
10195,1351589,19
10202,850429,8
10203,4904783,64
71357,1706133,54
10204,83173,51
10205,6009160,117
71353,898094,92
10177,1802025,23
40211,20687,95
55762,56391,9
29234,15047848,89
10179,1352044,20
51429,6346185,94
71329,1376587,139
16743,52609,19
35882,1326461,75
35883,3017949,61
67485,323490,37
35881,1875179,74
16747,186868,63
16749,403480,44
25358,328824,33
64444,2229670,37
36841,228138,52
71023,290102,30
5982,526485,108
36846,757827,25
36839,514613,48
66633,683083,59
13602,4361680,163
36851,1178474,71
21432,1351182,83
13594,5568290,144
24813,1248961,124
17037,5370280,50
24812,1140336,114
51980,3457626,135
24801,671582,66
51969,5248476,139
5985,985552,87
29121,287388,30
51984,7605673,156
51991,866443,106
63557,719608,58
51988,2745977,106
52077,336373,35
52078,135988,72
5914,62378,16
29114,883729,84
52073,3421463,96
52075,238540,87
86496,232289,31
29108,816400,35
5909,95961,26
5906,59163,9
29100,296465,52
48360,436127,12
29096,342592,43
29085,933401,42
24749,190019,19
29086,553587,53
40626,3997448,118
70917,824800,83
40618,421424,58
40619,325215,103
125710,1873896,90
55907,153260,12
24753,146965,28
16930,4828933,56
6096,1367801,109
66781,3564902,32
6104,1638891,96
36717,2740367,76
59852,432243,73
36718,550740,41
16940,455266,53
21251,149825,24
40517,318686,6
21254,82940,26
16950,1765107,79
21253,382478,55
21252,1369686,85
21259,94466,19
21258,1440857,116
9375,1791694,54
6093,308207,42
66807,1330978,21
71111,1082033,94
66804,551423,90
9382,7527312,140
71119,249406,59
66790,3970544,51
71127,1917995,91
71125,34049,13
71121,1610218,42
29000,954354,77
6124,3035759,58
71130,649318,32
24582,3031828,91
71072,89330,23
13813,83621,32
71074,2019176,33
71079,1975759,28
16993,798355,70
71078,1969193,28
56029,359370,44
56028,252542,13
71082,1472257,104
71085,1620916,88
71089,868042,67
17012,1575131,131
13792,90063,3
9425,4294106,53
48237,568682,59
48239,1559583,71
28954,2252261,79
24618,661621,73
6048,18471801,138
56034,1424908,80
56032,136587,25
56033,237484,22
71070,303846,19
71071,125251,14
71069,1899533,24
86204,498878,60
56079,944031,23
36607,1790660,23
25040,1049876,94
48546,115760,58
40902,1245152,94
25045,1953454,173
166534,149101,13
17320,154423,78
63867,318624,43
66908,939659,47
63865,1701343,80
21149,492979,29
56092,4440884,105
28926,178181,52
21150,312287,46
48521,673324,44
48525,2810351,62
25078,1182349,78
21158,2619171,153
21156,695156,69
25067,3313952,123
25065,2782738,113
59500,283189,27
59494,112685,0
17402,150178,14
24981,1059710,40
36533,1812438,115
17399,75296,24
24976,671773,39
86263,280414,21
24977,495918,38
24978,299973,44
48608,4696092,49
70699,1266798,107
24975,671773,40
40861,1776963,69
70689,4809125,115
40877,2630964,127
48589,90431,8
56172,38920,5
51806,480932,43
36504,2052715,123
56171,28984,10
59444,2172042,40
59441,4183026,134
59440,3228690,34
59442,8180027,152
21245,987584,102
59438,3197134,134
63768,1347562,19
86208,89283,11
67014,2268405,55
17203,505363,58
70900,1220232,77
24914,1001370,128
67013,309439,17
44052,923409,37
67022,1116286,76
67020,514573,60
9628,15516366,83
9629,3469731,44
9630,158697,22
9610,19839924,160
51886,49815,54
9614,3841281,53
70865,967108,43
51864,3241205,97
5875,1016402,116
9635,1130936,85
70852,1048072,130
13456,4901745,56
40820,358922,39
48406,2874322,102
48408,627678,37
48412,1366,31
48413,8046,63
48481,7517592,150
63927,877852,45
36395,3311310,43
66978,7055966,81
66983,258976,64
166512,460485,40
5802,2864074,80
5800,5233296,88
51930,1823765,62
5801,2502010,43
40758,1652271,117
40759,2016333,92
48465,10254174,123
66996,186747,37
166510,2870082,63
66999,331548,45
166511,199610,19
63901,221687,41
67001,131620,46
48477,17667774,141
67000,643128,94
67002,2930599,36
51913,581279,30
40761,1144073,126
6568,1354570,95
169030,138109,6
169028,85617,5
169027,133683,2
23918,1166148,109
28212,18879,8
15320,2616088,92
36920,133253,17
36912,1125971,118
10981,9300173,92
36916,849763,8
28199,1621058,69
36917,795225,26
33081,4512797,129
59280,337754,39
6554,1329180,71
72623,132291,69
19561,2637545,83
63165,415385,66
63164,600745,39
72618,3124918,43
63166,366125,28
63153,10263007,167
63154,4920695,63
63158,2325406,50
63182,67032,1
50591,478785,41
28280,428954,17
54443,2732096,87
63177,76202,2
36989,5030936,152
2245,719180,78
54452,2336751,130
32621,68634,6
54414,1561490,113
10907,233690,16
6601,3806565,90
10897,1402435,95
10894,1203835,60
54420,1200826,78
68135,92068,102
41969,117585,5
10869,31784,21
68137,151192,102
68136,53398,43
28324,4840967,50
19654,434163,55
6463,7096548,109
28311,655106,55
19707,576967,72
37005,1061581,60
59255,552323,15
63046,180176,44
2130,912346,53
10802,9363981,104
37102,2531528,117
37103,77552,1
37101,2578713,65
37099,1157469,64
59257,5821,2
41892,181912,105
37106,1617220,43
37105,118111,18
37104,2962402,114
19593,698215,74
23942,2844346,142
2175,1526026,86
2174,2816584,93
6476,1105462,83
54280,1788142,57
41883,181576,82
10758,7466015,137
33261,851054,64
23967,103961,47
23960,4716521,110
37176,1423452,111
72335,502552,53
37179,644918,73
68542,920896,71
28462,2269638,133
68538,223558,64
19783,15480364,85
37174,792155,47
11260,637840,106
28476,1818896,136
72342,2402535,90
68518,1617931,79
68519,610212,81
28468,1844781,87
72359,173104,31
72358,740768,30
11204,3124880,115
59014,896753,51
59013,1440826,84
32311,947963,16
76268,932285,15
54728,768475,92
2495,381425,44
89714,539329,40
37247,211780,82
2506,245109,33
37238,507766,45
68594,3341748,38
68597,3265243,37
32334,9274749,85
32326,3255021,132
68581,3009064,57
32851,349019,55
50347,4401104,105
6359,1802828,24
28480,8996055,149
28510,482212,53
68547,2042290,121
41493,98889,35
68545,2561668,93
68549,296340,42
58912,6564084,104
68406,1012726,46
68407,172253,69
14934,93057,21
68400,982742,93
68401,429096,93
72207,240470,53
11113,1210668,142
11118,1941210,129
68408,447130,87
