FACILITY_ID,FAC_CHANNEL,COUNTRY,TOWER_ID,SERVICE_POPULATION,
179211,29,CA                  ,40243,                  ,
179212,4,CA                  ,40139,                  ,
179213,7,CA                  ,40139,                  ,
179214,40,CA                  ,40139,                  ,
179215,10,CA                  ,40244,                  ,
179216,13,CA                  ,40244,                  ,
179217,16,CA                  ,40245,                  ,
179218,17,CA                  ,40245,                  ,
179219,23,CA                  ,40246,                  ,
179220,32,CA                  ,40246,                  ,
179221,40,CA                  ,40244,                  ,
179222,49,CA                  ,40244,                  ,
179223,3,CA                  ,40226,                  ,
179224,15,CA                  ,40227,                  ,
179225,36,CA                  ,40227,                  ,
179226,41,CA                  ,40227,                  ,
179227,6,CA                  ,40132,                  ,
179228,8,CA                  ,40131,                  ,
179229,14,CA                  ,40132,                  ,
179230,15,CA                  ,40133,                  ,
179231,33,CA                  ,40131,                  ,
179232,50,CA                  ,40133,                  ,
179233,7,CA                  ,40223,                  ,
179234,27,CA                  ,40223,                  ,
179235,50,CA                  ,40223,                  ,
179236,6,CA                  ,40027,                  ,
179237,7,CA                  ,40027,                  ,
179238,10,CA                  ,40025,                  ,
179239,12,CA                  ,40025,                  ,
179240,15,CA                  ,40025,                  ,
179241,20,CA                  ,40025,                  ,
179242,32,CA                  ,40026,                  ,
179243,38,CA                  ,40026,                  ,
179244,35,CA                  ,40240,                  ,
179245,45,CA                  ,40240,                  ,
179246,22,CA                  ,40160,                  ,
179247,28,CA                  ,40160,                  ,
179248,33,CA                  ,40159,                  ,
179249,17,CA                  ,40160,                  ,
179250,47,CA                  ,40160,                  ,
179251,32,CA                  ,40080,                  ,
179252,43,CA                  ,40080,                  ,
179253,27,CA                  ,40263,                  ,
179254,3,CA                  ,40147,                  ,
179255,9,CA                  ,40148,                  ,
179256,23,CA                  ,40149,                  ,
179257,33,CA                  ,40147,                  ,
179258,39,CA                  ,40149,                  ,
179259,5,CA                  ,40032,                  ,
179260,13,CA                  ,40032,                  ,
179261,14,CA                  ,40031,                  ,
179262,15,CA                  ,40031,                  ,
179263,29,CA                  ,40032,                  ,
179264,33,CA                  ,40032,                  ,
179265,11,CA                  ,40275,                  ,
179266,26,CA                  ,40275,                  ,
179267,33,CA                  ,40274,                  ,
179268,39,CA                  ,40158,                  ,
179269,34,CA                  ,40244,                  ,
179270,48,CA                  ,40244,                  ,
179271,3,CA                  ,40029,                  ,
179272,11,CA                  ,40029,                  ,
179273,20,CA                  ,40028,                  ,
179274,21,CA                  ,40028,                  ,
179275,22,CA                  ,40028,                  ,
179276,27,CA                  ,40028,                  ,
179277,34,CA                  ,40029,                  ,
179278,35,CA                  ,40029,                  ,
179279,8,CA                  ,40262,                  ,
179280,11,CA                  ,40264,                  ,
179281,14,CA                  ,40261,                  ,
179282,17,CA                  ,40264,                  ,
179283,19,CA                  ,40261,                  ,
179284,42,CA                  ,40265,                  ,
179285,2,CA                  ,40235,                  ,
179286,8,CA                  ,40232,                  ,
179287,10,CA                  ,40381,                  ,
179288,14,CA                  ,40230,                  ,
179289,16,CA                  ,40235,                  ,
179290,17,CA                  ,40234,                  ,
179291,18,CA                  ,40235,                  ,
179292,20,CA                  ,40235,                  ,
179293,22,CA                  ,40232,                  ,
179294,26,CA                  ,40235,                  ,
179295,30,CA                  ,40230,                  ,
179296,32,CA                  ,40232,                  ,
179297,33,CA                  ,40232,                  ,
179298,39,CA                  ,40230,                  ,
179299,41,CA                  ,40235,                  ,
179300,42,CA                  ,40235,                  ,
179301,43,CA                  ,40235,                  ,
179302,45,CA                  ,40230,                  ,
179303,7,CA                  ,40155,                  ,
179304,12,CA                  ,40155,                  ,
179305,18,CA                  ,40157,                  ,
179306,20,CA                  ,40157,                  ,
179307,41,CA                  ,40156,                  ,
179308,42,CA                  ,40156,                  ,
179313,36,MX                  ,70123,                  ,
179318,6,CA                  ,40380,                  ,
179319,15,CA                  ,40382,                  ,
179320,21,CA                  ,40383,                  ,
179321,29,CA                  ,40383,                  ,
