,DMA Rank,dma,facility_id,Call Sign,Channel,Facility Service,Interference2,population,Volume3,Scaled Volume4,p_open,Move to Low VHF,Move to High VHF,pre_auction_band
1866,146,"Palm Springs, CA",67013,K21DO-D,21,DC,63,465137.0,5413,88765,79888500.0,"$59,916,375 ","$31,955,400 ",UHF
1867,146,"Palm Springs, CA",51207,KDFX-CD,39,DC,22,369032.0,2849,46722,42049800.0,"$31,537,350 ","$16,819,920 ",UHF
1868,146,"Palm Springs, CA",25577,KESQ-TV,42,DT,29,484914.0,3750,61491,55341900.0,"$41,506,425 ","$22,136,760 ",UHF
1869,146,"Palm Springs, CA",51656,KEVC-CD,36,DC,27,427660.0,3398,55720,50148000.0,"$37,611,000 ","$20,059,200 ",UHF
1870,146,"Palm Springs, CA",16749,KMIR-TV,46,DT,67,507008.0,5828,95571,86013900.0,"$64,510,425 ","$34,405,560 ",UHF
1871,146,"Palm Springs, CA",191793,KPOM-CD,45,DC,88,2105274.0,13611,223190,200871000.0,"$150,653,250 ","$80,348,400 ",UHF
1872,146,"Palm Springs, CA",10535,KPSP-CD,38,DC,26,404687.0,3244,53189,47870100.0,"$35,902,575 ","$19,148,040 ",UHF
1873,146,"Palm Springs, CA",10536,KRET-CD,31,DC,29,447415.0,3602,59065,53158500.0,"$39,868,875 ","$21,263,400 ",UHF
1874,146,"Palm Springs, CA",69753,KVER-CA,41,DC,24,435376.0,3232,53005,47704500.0,"$35,778,375 ","$19,081,800 ",UHF
1877,147,"Wichita Falls, TX -Lawton, OK",6864,KAUZ-TV,22,DT,59,379323.0,4731,77573,69815700.0,"$52,361,775 ","$27,926,280 ",UHF
1878,147,"Wichita Falls, TX -Lawton, OK",65370,KFDX-TV,28,DT,66,381312.0,5017,82261,74034900.0,"$55,526,175 ","$29,613,960 ",UHF
1879,147,"Wichita Falls, TX -Lawton, OK",7675,KJTL,15,DT,33,372368.0,3505,57481,51732900.0,"$38,799,675 ","$20,693,160 ",UHF
1880,147,"Wichita Falls, TX -Lawton, OK",35645,KSWO-TV,11,DT,63,449101.0,5319,87221,47099340.0,"$27,474,615 ",,HVHF
1889,149,"Sioux City, IA",11265,KCAU-TV,9,DT,89,751805.0,8180,134130,72430200.0,"$42,250,950 ",,HVHF
1890,149,"Sioux City, IA",39665,KMEG,39,DT,81,694341.0,7499,122973,110675700.0,"$83,006,775 ","$44,270,280 ",UHF
1891,149,"Sioux City, IA",77451,KPTH,49,DT,77,577629.0,6669,109358,98422200.0,"$73,816,650 ","$39,368,880 ",UHF
1892,149,"Sioux City, IA",29096,KSIN-TV,28,DT,70,338662.0,4869,79838,71854200.0,"$53,890,650 ","$28,741,680 ",UHF
1893,149,"Sioux City, IA",66170,KTIV,41,DT,84,682792.0,7573,124183,111764700.0,"$83,823,525 ","$44,705,880 ",UHF
1894,149,"Sioux City, IA",47995,KXNE-TV,19,DT,65,296413.0,4389,71975,64777500.0,"$48,583,125 ","$25,911,000 ",UHF
1895,150,"Erie, PA",19707,WFXP,22,DT,139,562423.0,8842,144983,130484700.0,"$97,863,525 ","$52,193,880 ",UHF
1896,150,"Erie, PA",24970,WICU-TV,12,DT,70,653888.0,6766,110938,59906520.0,"$34,945,470 ",,HVHF
1897,150,"Erie, PA",65749,WJET-TV,24,DT,167,664744.0,10536,172769,155492100.0,"$116,619,075 ","$62,196,840 ",UHF
1898,150,"Erie, PA",53716,WQLN,50,DT,129,559606.0,8496,139321,125388900.0,"$94,041,675 ","$50,155,560 ",UHF
1899,150,"Erie, PA",49711,WSEE-TV,16,DT,148,523834.0,8805,144380,129942000.0,"$97,456,500 ","$51,976,800 ",UHF
1900,151,"Joplin, MO-Pittsburg, KS",83992,KFJX,13,DT,57,479736.0,5229,85747,46303380.0,"$27,010,305 ",,HVHF
1901,151,"Joplin, MO-Pittsburg, KS",58552,KOAM-TV,7,DT,85,575509.0,6994,114687,61930980.0,"$36,126,405 ",,HVHF
