DMA Rank,DMA1,Facility ID,Call Sign,Channel,Facility Service,Interference2,Interference -Free Population,Volume3,Scaled Volume4,Go Off-Air,Move to Low VHF,Move to High VHF
141,"Duluth, MN-Superior, WI",71338,WDIO-DT,10,DT,48," 325,482 ",3953,64813,"$34,999,020 ","$20,416,095 ",NA
141,"Duluth, MN-Superior, WI",17726,WDSE,8,DT,45," 308,438 ",3726,61090,"$32,988,600 ","$19,243,350 ",NA
141,"Duluth, MN-Superior, WI",71336,WIRT-DT,13,DT,33," 125,258 ",2033,33338,"$18,002,520 ","$10,501,470 ",NA
141,"Duluth, MN-Superior, WI",159007,WRPT,31,DT,30," 109,937 ",1816,29779,Not Needed,Not Needed,Not Needed
142,"Beaumont-Port Arthur, TX",10150,KBMT,12,DT,56," 741,674 ",6445,105677,"$57,065,580 ","$33,288,255 ",NA
142,"Beaumont-Port Arthur, TX",61214,KBTV-TV,40,DT,55," 714,413 ",6268,102786,"$92,507,400 ","$69,380,550 ","$37,002,960 "
142,"Beaumont-Port Arthur, TX",22589,KFDM,25,DT,54," 677,858 ",6050,99208,"$89,287,200 ","$66,965,400 ","$35,714,880 "
142,"Beaumont-Port Arthur, TX",12896,KITU-TV,33,DT,63," 709,167 ",6684,109603,"$98,642,700 ","$73,982,025 ","$39,457,080 "
143,"Salisbury, MD",71218,WBOC-TV,21,DT,110," 783,353 ",9283,152214,"$136,992,600 ","$102,744,450 ","$54,797,040 "
143,"Salisbury, MD",40618,WCPB,28,DT,86," 498,887 ",6550,107406,"$96,665,400 ","$72,499,050 ","$38,666,160 "
143,"Salisbury, MD",16455,WMDT,47,DT,97," 718,144 ",8346,136858,"$123,172,200 ","$92,379,150 ","$49,268,880 "
144,"Lubbock, TX",40820,KAMC,27,DT,37," 391,494 ",3806,62408,Not Needed,Not Needed,Not Needed
144,"Lubbock, TX",27507,KCBD,11,DT,41," 412,714 ",4114,67452,"$36,424,080 ","$21,247,380 ",NA
144,"Lubbock, TX",168090,KJTV-CD,33,DC,29," 314,091 ",3018,49489,Not Needed,Not Needed,Not Needed
144,"Lubbock, TX",55031,KJTV-TV,35,DT,40," 409,678 ",4048,66379,Not Needed,Not Needed,Not Needed
144,"Lubbock, TX",3660,KLBK-TV,40,DT,34," 387,878 ",3632,59548,Not Needed,Not Needed,Not Needed
144,"Lubbock, TX",77719,KLCW-TV,43,DT,33," 376,416 ",3524,57792,Not Needed,Not Needed,Not Needed
144,"Lubbock, TX",53544,KPTB-DT,16,DT,40," 317,203 ",3562,58409,Not Needed,Not Needed,Not Needed
144,"Lubbock, TX",65355,KTTZ-TV,39,DT,40," 373,338 ",3864,63367,Not Needed,Not Needed,Not Needed
144,"Lubbock, TX",55055,KXTQ-CD,46,DC,27," 313,632 ",2910,47717,Not Needed,Not Needed,Not Needed
145,"Odessa-Midland, TX",35131,KMID,26,DT,43," 383,439 ",4061,66583,Not Needed,Not Needed,Not Needed
145,"Odessa-Midland, TX",53541,KMLM-DT,42,DT,26," 293,285 ",2761,45280,Not Needed,Not Needed,Not Needed
145,"Odessa-Midland, TX",6865,KOSA-TV,7,DT,39," 338,068 ",3631,59541,"$32,152,140 ","$18,755,415 ",NA
145,"Odessa-Midland, TX",50044,KPBT-TV,38,DT,38," 302,876 ",3393,55629,Not Needed,Not Needed,Not Needed
145,"Odessa-Midland, TX",12524,KPEJ-TV,23,DT,38," 368,208 ",3741,61336,Not Needed,Not Needed,Not Needed
145,"Odessa-Midland, TX",86263,KUPB,18,DT,32," 318,914 ",3195,52383,Not Needed,Not Needed,Not Needed
145,"Odessa-Midland, TX",42008,KWAB-TV,33,DT,36," 50,654 ",1350,22143,Not Needed,Not Needed,Not Needed
145,"Odessa-Midland, TX",42007,KWES-TV,9,DT,48," 410,998 ",4442,72832,"$39,329,280 ","$22,942,080 ",NA
145,"Odessa-Midland, TX",84410,KWWT,30,DT,31," 293,291 ",3015,49444,Not Needed,Not Needed,Not Needed
146,"Palm Springs, CA",67013,K21DO-D,21,DC,63," 465,137 ",5413,88765,"$79,888,500 ","$59,916,375 ","$31,955,400 "
146,"Palm Springs, CA",51207,KDFX-CD,39,DC,22," 369,032 ",2849,46722,"$42,049,800 ","$31,537,350 ","$16,819,920 "
