auction_id,stage,clearing_target,licensed_spectrum,round,start_time,end_time,base_clock_price,price_decrement_r1,price_decrement_r2,pw_compensation
1001,4,84,70,35,2017-01-09 10:00:00,2017-01-09 11:00:00,147.34033601265102,5,1,""
1001,4,84,70,36,2017-01-09 13:00:00,2017-01-09 14:00:00,138.34033601265102,5,1,""
1001,4,84,70,37,2017-01-09 16:00:00,2017-01-09 17:00:00,129.34033601265102,5,1,""
1001,4,84,70,38,2017-01-10 10:00:00,2017-01-10 11:00:00,120.34033601265102,5,1,""
1001,4,84,70,39,2017-01-10 12:00:00,2017-01-10 13:00:00,111.34033601265102,5,1,""
1001,4,84,70,40,2017-01-10 14:00:00,2017-01-10 15:00:00,102.34033601265102,5,1,""
1001,4,84,70,41,2017-01-10 16:00:00,2017-01-10 17:00:00,93.34033601265102,5,1,""
1001,4,84,70,42,2017-01-11 10:00:00,2017-01-11 11:00:00,84.34033601265102,5,1,""
1001,4,84,70,43,2017-01-11 12:00:00,2017-01-11 13:00:00,75.34033601265102,5,1,""
1001,4,84,70,44,2017-01-11 14:00:00,2017-01-11 15:00:00,66.34033601265102,5,1,""
1001,4,84,70,45,2017-01-11 16:00:00,2017-01-11 17:00:00,57.34033601265102,5,1,""
1001,4,84,70,46,2017-01-12 10:00:00,2017-01-12 11:00:00,48.34033601265102,5,1,""
1001,4,84,70,47,2017-01-12 12:00:00,2017-01-12 13:00:00,39.34033601265102,5,1,""
1001,4,84,70,48,2017-01-12 14:00:00,2017-01-12 15:00:00,30.340336012651022,5,1,""
1001,4,84,70,49,2017-01-12 16:00:00,2017-01-12 17:00:00,21.340336012651022,5,1,""
1001,4,84,70,50,2017-01-13 10:00:00,2017-01-13 11:00:00,12.340336012651022,5,1,""
1001,4,84,70,51,2017-01-13 12:00:00,2017-01-13 13:00:00,3.340336012651022,5,1,""
1001,4,84,70,52,2017-01-13 14:00:00,2017-01-13 14:30:00,0.0,5,1,""
1001,4,84,70,53,2017-01-13 15:00:00,2017-01-13 15:30:00,0.0,5,1,10054676822
